Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1584.37568325,OUT049
FDW14,1459.8181219,OUT017
NCN55,574.560747035,OUT010
FDQ58,2502.00760115,OUT017
FDY38,5834.87702375,OUT027
FDH56,1959.09862886,OUT046
FDL48,726.094904898,OUT018
FDC48,2095.64431823,OUT027
FDN33,1527.50058274,OUT045
FDA36,3050.44458539,OUT017
FDT44,1973.46628551,OUT017
FDQ56,1444.98446794,OUT045
NCC54,573.590063629,OUT019
FDU11,2017.58107935,OUT049
DRL59,840.441687701,OUT013
FDM24,2493.6521784,OUT049
FDI57,3102.6097416,OUT045
DRC12,3054.04645466,OUT018
NCM42,2920.57425288,OUT027
FDA46,507.312663875,OUT010
FDA31,2850.52452713,OUT013
NCJ31,3862.44590751,OUT035
FDG52,732.621693997,OUT046
NCL19,287.49352767,OUT019
FDS10,3006.65617604,OUT035
FDX22,568.814558429,OUT010
NCF19,727.691771261,OUT035
NCE06,2558.87366479,OUT046
DRC27,3869.69156366,OUT046
FDE21,1959.09862886,OUT035
NCR42,129.516342155,OUT019
FDX51,3054.04645466,OUT018
NCR06,665.285096644,OUT018
FDU31,5841.18655437,OUT027
FDU59,2562.56092431,OUT017
FDR03,5838.25868868,OUT027
FDS49,1963.08840137,OUT027
FDD48,268.969798236,OUT010
NCF18,3054.04645466,OUT017
NCD43,2855.82160245,OUT027
NCD54,2138.44911082,OUT018
FDY19,269.932763264,OUT010
NCY54,2850.52452713,OUT017
NCL19,2470.68759948,OUT018
FDP23,571.895118873,OUT010
FDC26,1700.10642567,OUT013
FDR14,129.516342155,OUT010
NCS41,3048.67717878,OUT035
FDF41,3908.26824092,OUT035
FDU34,2017.58107935,OUT046
DRH11,972.535719319,OUT046
FDM03,1581.98196599,OUT013
FDS31,3015.57880349,OUT017
FDJ20,2017.58107935,OUT017
FDV44,5162.72199698,OUT027
FDG02,3050.44458539,OUT049
FDA09,2975.64416642,OUT013
FDT04,720.130899197,OUT013
FDL58,572.521204109,OUT019
FDE52,1496.85839028,OUT045
FDW12,2472.83991975,OUT035
FDL51,3684.83255981,OUT017
NCY42,3013.25534112,OUT027
FDR07,1529.82421134,OUT017
FDN40,2495.67209288,OUT045
FDB35,2725.89675443,OUT027
FDA22,2564.1093525,OUT017
NCL06,4056.67746853,OUT046
FDI35,3015.57880349,OUT013
NCW42,3768.65664777,OUT045
NCX06,2975.64416642,OUT049
FDC37,2892.78260392,OUT027
FDZ14,2017.58107935,OUT018
DRG49,3867.27509319,OUT049
NCG06,4031.0224503,OUT045
DRC36,2850.52452713,OUT045
FDV21,281.664727384,OUT019
FDB53,2485.38863866,OUT046
DRP47,571.993294987,OUT019
FDA14,2477.18804657,OUT013
DRC24,2495.67209288,OUT035
FDW21,1566.5196835,OUT018
NCH29,1529.82421134,OUT046
FDU58,3050.44458539,OUT013
FDY27,2873.94972143,OUT017
FDV56,1587.01084899,OUT035
FDT59,3808.94240791,OUT046
FDB23,3774.5053112,OUT046
FDR49,727.681664035,OUT045
FDB03,574.609833863,OUT010
FDN39,2562.56092431,OUT045
FDX02,5838.25868868,OUT027
FDQ16,2886.61603767,OUT027
FDU35,1537.1239071,OUT018
NCT29,2017.58107935,OUT013
FDZ27,732.621693997,OUT046
FDN57,2035.45597044,OUT017
FDA03,2480.40930113,OUT018
FDZ36,3050.44458539,OUT045
NCU05,1445.68348174,OUT013
FDT39,2491.49985813,OUT018
FDK60,1529.82421134,OUT017
FDZ25,2735.51493389,OUT017
FDG12,2017.58107935,OUT046
DRB01,504.13674882,OUT019
NCC43,5837.80488943,OUT027
FDX13,570.87534864,OUT019
FDM22,874.026778228,OUT049
FDJ03,1018.87673241,OUT027
FDU14,3803.11761394,OUT018
FDB33,382.800116248,OUT010
FDP27,3050.44458539,OUT046
FDO38,165.249033605,OUT010
FDE28,5837.80488943,OUT027
FDO27,1527.50058274,OUT035
DRL23,2882.39454231,OUT027
FDS28,972.535719319,OUT046
FDX24,1526.59162806,OUT013
FDZ02,1529.82421134,OUT035
FDL46,1959.09862886,OUT045
FDS60,4747.43617903,OUT027
NCO06,657.146643497,OUT017
FDO16,1431.51402722,OUT035
FDC60,1460.7060937,OUT049
FDA48,3543.08069862,OUT018
FDZ36,5154.31371978,OUT027
FDK27,2015.06954904,OUT045
FDW23,663.561065178,OUT018
FDM14,1652.79082426,OUT018
FDM14,1584.37568325,OUT013
FDW60,2871.79740116,OUT018
FDE21,1959.09862886,OUT013
NCM42,1587.01084899,OUT035
FDY59,227.559096415,OUT010
DRI49,1328.90550443,OUT049
FDT28,366.435573367,OUT019
FDQ22,664.374477524,OUT018
FDR60,1268.08681841,OUT049
FDC50,235.872905083,OUT019
FDV24,2493.6521784,OUT013
DRF48,490.095029424,OUT010
FDQ47,663.673432597,OUT046
DRN36,1529.82421134,OUT049
NCY06,2023.14291147,OUT035
FDE52,1496.85839028,OUT035
NCB54,2020.5838489,OUT045
NCF31,2493.6521784,OUT035
FDJ08,5174.56116904,OUT027
NCC07,1579.5817461,OUT017
NCD19,1240.07851671,OUT027
FDL46,1978.83663472,OUT049
FDM20,3905.2184609,OUT045
NCI06,446.993118598,OUT010
DRM11,4080.24693312,OUT035
NCH07,2547.70331738,OUT018
FDS23,2028.92997582,OUT013
FDO49,726.094904898,OUT018
FDS35,1063.01112427,OUT049
DRK39,1382.51451352,OUT045
DRI39,927.742452596,OUT049
FDV04,2549.85563764,OUT017
NCN14,3048.67717878,OUT035
FDH08,3795.88434662,OUT013
FDS20,3048.67717878,OUT046
FDV40,1095.77411638,OUT049
FDZ48,260.699778638,OUT010
FDS24,2586.89956847,OUT027
FDK44,2850.52452713,OUT049
FDS48,2491.17271061,OUT045
FDK26,491.691798066,OUT010
FDD23,3050.44458539,OUT045
NCH54,2558.87366479,OUT017
NCP14,237.90273824,OUT010
FDM60,129.516342155,OUT010
FDV24,2493.6521784,OUT017
FDH08,3606.06611102,OUT018
FDS12,2982.77811115,OUT027
FDR39,4801.69317268,OUT027
FDP12,961.202864719,OUT027
DRF60,5841.18655437,OUT027
FDC09,1573.30644672,OUT035
FDF50,3063.79616799,OUT018
FDG28,3912.1726366,OUT035
NCE19,922.553359934,OUT017
NCM53,247.304459224,OUT010
NCN18,1672.1534762,OUT049
FDF32,3131.36474239,OUT035
FDF11,3866.8248368,OUT013
DRI59,3790.36251639,OUT049
NCG54,2735.51493389,OUT035
FDM44,1568.58154152,OUT046
FDT57,3649.66465954,OUT018
FDV24,2493.6521784,OUT046
FDI50,572.472117282,OUT019
FDS09,740.532471289,OUT035
NCC31,4092.90929909,OUT027
FDQ07,573.590063629,OUT019
FDC22,3052.31110231,OUT017
FDZ56,2735.51493389,OUT046
FDZ40,129.516342155,OUT019
FDS46,2941.2124793,OUT027
DRD24,2043.16507514,OUT045
FDV45,3050.44458539,OUT017
FDL26,2504.28795012,OUT045
FDA56,2017.58107935,OUT018
FDN27,1963.51851588,OUT046
FDM20,3891.18439067,OUT049
FDO16,1382.51451352,OUT017
FDL03,3054.04645466,OUT035
FDE58,1959.09862886,OUT046
FDI02,2932.99211874,OUT027
NCC55,129.516342155,OUT019
FDR03,3298.6580648,OUT018
FDB14,1515.11549484,OUT017
FDR45,3877.19228876,OUT013
NCN07,2028.92997582,OUT017
FDM51,246.247280859,OUT019
FDT52,5841.18655437,OUT027
FDL26,2497.48771821,OUT046
NCZ42,3854.60255193,OUT046
DRI47,367.616264177,OUT019
FDW40,2046.37158455,OUT013
FDN34,2735.51493389,OUT046
FDS01,2891.51073504,OUT035
NCG55,1954.42391428,OUT045
FDC11,1459.8181219,OUT035
FDX35,3594.27522705,OUT018
NCB06,2556.95640859,OUT046
FDR09,571.993294987,OUT019
FDC53,1529.82421134,OUT017
FDY45,4014.47115468,OUT013
FDA22,384.068803743,OUT010
FDE02,1527.50058274,OUT035
FDW21,1566.5196835,OUT045
FDV34,1152.87300223,OUT046
FDS59,1587.01084899,OUT049
NCW17,2023.14291147,OUT017
NCK54,1959.09862886,OUT046
FDG17,572.472117282,OUT019
FDG35,2850.52452713,OUT017
FDD08,129.516342155,OUT010
NCO07,3687.3621078,OUT017
FDJ10,278.088071447,OUT010
FDW36,1573.30644672,OUT017
FDW21,236.560780213,OUT010
FDY19,1963.51851588,OUT017
DRE03,781.194688115,OUT013
NCC55,670.087854277,OUT049
FDH52,135.046224928,OUT010
FDO09,4078.70120946,OUT017
FDU43,3874.17723472,OUT045
FDX09,423.259093557,OUT010
FDH40,205.668560807,OUT019
FDW58,1573.30644672,OUT017
FDC47,3792.93086337,OUT017
NCR41,1525.31968256,OUT035
DRG49,3888.26333912,OUT035
FDC52,4078.38772533,OUT027
FDY13,1152.87300223,OUT046
FDY35,724.755052938,OUT013
FDI35,3040.21620407,OUT017
NCU18,2046.37158455,OUT049
FDY33,2547.70331738,OUT018
FDC15,4171.18223736,OUT027
FDU01,3050.44458539,OUT049
NCU42,2735.51493389,OUT046
NCV29,2871.79740116,OUT018
NCY30,3048.67717878,OUT017
FDQ46,1700.10642567,OUT049
FDG58,4092.90929909,OUT027
FDK33,3685.20337803,OUT017
NCD07,1951.8733852,OUT045
NCX29,4010.12794534,OUT027
NCT42,2485.38863866,OUT013
DRN59,726.221720458,OUT035
FDI44,1264.57558,OUT035
FDA45,2879.27466923,OUT049
FDP31,1058.0338375,OUT045
FDY01,1951.8733852,OUT046
FDT09,2031.98786014,OUT018
DRH03,2820.69211483,OUT027
FDA36,3050.44458539,OUT018
NCF31,2497.48771821,OUT017
FDG14,2493.6521784,OUT049
FDG28,5841.18655437,OUT027
FDU14,4003.10634479,OUT049
FDY47,284.919165092,OUT019
FDI56,1496.85839028,OUT049
DRD01,1055.79651425,OUT013
FDM22,966.575731605,OUT046
FDH33,721.854930663,OUT013
DRZ24,1975.968174,OUT013
NCQ38,1573.30644672,OUT046
FDO16,2340.10770766,OUT027
FDU07,4058.28648362,OUT027
NCB07,3054.04645466,OUT013
FDU48,2031.98786014,OUT045
NCM43,2562.56092431,OUT045
FDR31,364.11484847,OUT010
DRK49,665.285096644,OUT018
NCI30,574.560747035,OUT010
DRD60,3015.57880349,OUT017
NCG19,3810.91994822,OUT046
FDH12,1573.30644672,OUT035
FDM32,1511.07505587,OUT035
FDM27,2509.38990048,OUT035
NCU53,4236.08913169,OUT027
NCQ18,1534.59118692,OUT046
FDS10,2953.82537462,OUT013
FDB33,4171.18223736,OUT027
FDI12,1507.00601969,OUT013
NCW42,3752.63694967,OUT013
NCC06,2023.14291147,OUT018
FDW02,2020.5838489,OUT017
NCD43,1573.30644672,OUT017
FDM57,1407.95688394,OUT018
FDA58,3858.6666783,OUT017
FDK56,3050.44458539,OUT046
FDP52,3817.53966655,OUT045
FDW20,2017.58107935,OUT018
FDS52,1547.13933739,OUT049
NCT29,2012.21908855,OUT018
NCL54,2867.62659017,OUT013
FDC05,3063.13601314,OUT045
FDF34,3056.28671712,OUT035
FDP03,2973.82963786,OUT027
FDD32,197.694869131,OUT010
FDZ10,2023.14291147,OUT045
FDZ40,920.131614322,OUT035
FDD51,666.051098141,OUT018
NCY30,428.197710389,OUT019
FDP58,3718.09697798,OUT017
FDV49,4069.83478769,OUT017
FDY24,129.516342155,OUT019
NCO55,1581.98196599,OUT017
FDR13,1959.09862886,OUT017
FDS51,1028.45885847,OUT017
FDP26,1573.30644672,OUT045
NCB54,2989.50191087,OUT027
FDF32,3056.28671712,OUT017
FDN31,3050.44458539,OUT018
DRM48,657.146643497,OUT017
FDN20,2732.9999121,OUT049
DRL01,3799.73276439,OUT046
FDV56,1581.98196599,OUT049
DRH13,2886.61603767,OUT027
FDA03,2482.5616214,OUT017
FDF47,5834.87702375,OUT027
FDX32,2482.5616214,OUT046
FDX57,1529.82421134,OUT049
NCA30,3050.44458539,OUT045
FDO49,782.664738917,OUT013
FDL04,247.589238886,OUT019
DRM48,658.74350986,OUT035
FDR16,3670.88434152,OUT013
NCC19,3054.04645466,OUT018
NCE42,3841.62793173,OUT045
FDY24,922.553359934,OUT017
FDH19,2850.52452713,OUT049
FDJ46,2850.52452713,OUT013
FDN45,573.013065221,OUT010
FDY08,2035.45597044,OUT035
FDZ37,1457.43189244,OUT035
NCT30,729.151714838,OUT045
