Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1649.299786,OUT049
FDW14,1435.91213437,OUT017
NCN55,584.757764773,OUT010
FDQ58,2649.11023243,OUT017
FDY38,6280.89088,OUT027
FDH56,1922.14938171,OUT046
FDL48,713.858654545,OUT018
FDC48,2517.88208848,OUT027
FDN33,1879.25701161,OUT045
FDA36,2752.97093465,OUT017
FDT44,1922.14938171,OUT017
FDQ56,1435.91213437,OUT045
NCC54,584.757764773,OUT019
FDU11,2142.74357094,OUT049
DRL59,713.858654545,OUT013
FDM24,2286.41326737,OUT049
FDI57,3130.00490495,OUT045
DRC12,2893.8398259,OUT018
NCM42,3242.06207153,OUT027
FDA46,482.699542623,OUT010
FDA31,2778.58931753,OUT013
NCJ31,3737.29577518,OUT035
FDG52,798.21760354,OUT046
NCL19,281.482081818,OUT019
FDS10,3384.10806424,OUT035
FDX22,584.757764773,OUT010
NCF19,798.21760354,OUT035
NCE06,2503.50133645,OUT046
DRC27,3643.51972598,OUT046
FDE21,1922.14938171,OUT035
NCR42,92.6754815534,OUT019
FDX51,2893.8398259,OUT018
NCR06,507.04640367,OUT018
FDU31,5329.31472444,OUT027
FDU59,2503.50133645,OUT017
FDR03,5329.31472444,OUT027
FDS49,2517.88208848,OUT027
FDD48,281.482081818,OUT010
NCF18,2939.34847619,OUT017
NCD43,2517.88208848,OUT027
NCD54,1752.25244,OUT018
FDY19,281.482081818,OUT010
NCY54,2778.58931753,OUT017
NCL19,2232.84702185,OUT018
FDP23,584.757764773,OUT010
FDC26,1649.299786,OUT013
FDR14,165.918581651,OUT010
NCS41,3384.10806424,OUT035
FDF41,3737.29577518,OUT035
FDU34,1987.25104865,OUT046
DRH11,935.032388304,OUT046
FDM03,1461.843796,OUT013
FDS31,3384.10806424,OUT017
FDJ20,2142.74357094,OUT017
FDV44,5329.31472444,OUT027
FDG02,2752.97093465,OUT049
FDA09,3259.56208491,OUT013
FDT04,507.04640367,OUT013
FDL58,584.757764773,OUT019
FDE52,1435.91213437,OUT045
FDW12,2286.41326737,OUT035
FDL51,3643.51972598,OUT017
NCY42,3242.06207153,OUT027
FDR07,1573.07062581,OUT017
FDN40,2286.41326737,OUT045
FDB35,2517.88208848,OUT027
FDA22,2286.41326737,OUT017
NCL06,4034.3003069,OUT046
FDI35,3384.10806424,OUT013
NCW42,4340.21835842,OUT045
NCX06,2778.58931753,OUT049
FDC37,2517.88208848,OUT027
FDZ14,1752.25244,OUT018
DRG49,3454.06255915,OUT049
NCG06,4034.3003069,OUT045
DRC36,3259.56208491,OUT045
FDV21,281.482081818,OUT019
FDB53,3053.09987778,OUT046
DRP47,584.757764773,OUT019
FDA14,3053.09987778,OUT013
DRC24,2644.47784271,OUT035
FDW21,1372.68849074,OUT018
NCH29,1682.21223824,OUT046
FDU58,2893.8398259,OUT013
FDY27,2552.00523519,OUT017
FDV56,1682.21223824,OUT035
FDT59,3945.43256721,OUT046
FDB23,3945.43256721,OUT046
FDR49,798.21760354,OUT045
FDB03,584.757764773,OUT010
FDN39,2453.7477007,OUT045
FDX02,5329.31472444,OUT027
FDQ16,2517.88208848,OUT027
FDU35,1372.68849074,OUT018
NCT29,1987.25104865,OUT013
FDZ27,798.21760354,OUT046
FDN57,2309.200798,OUT017
FDA03,2232.84702185,OUT018
FDZ36,3384.10806424,OUT045
NCU05,1284.78976687,OUT013
FDT39,2232.84702185,OUT018
FDK60,1461.843796,OUT017
FDZ25,3053.09987778,OUT017
FDG12,2243.66959672,OUT046
DRB01,482.699542623,OUT019
NCC43,6280.89088,OUT027
FDX13,584.757764773,OUT019
FDM22,796.640268254,OUT049
FDJ03,1378.26318528,OUT027
FDU14,3327.95258293,OUT018
FDB33,346.897283721,OUT010
FDP27,3391.59125273,OUT046
FDO38,165.918581651,OUT010
FDE28,6280.89088,OUT027
FDO27,1879.25701161,OUT035
DRL23,2517.88208848,OUT027
FDS28,935.032388304,OUT046
FDX24,1435.91213437,OUT013
FDZ02,1682.21223824,OUT035
FDL46,1827.83284545,OUT045
FDS60,5329.31472444,OUT027
NCO06,583.814578862,OUT017
FDO16,1435.91213437,OUT035
FDC60,1458.45500805,OUT049
FDA48,3327.95258293,OUT018
FDZ36,5329.31472444,OUT027
FDK27,1827.83284545,OUT045
FDW23,507.04640367,OUT018
FDM14,1372.68849074,OUT018
FDM14,1649.299786,OUT013
FDW60,3259.56208491,OUT018
FDE21,1922.14938171,OUT013
NCM42,1682.21223824,OUT035
FDY59,219.21852093,OUT010
DRI49,1202.65673333,OUT049
FDT28,346.897283721,OUT019
FDQ22,507.04640367,OUT018
FDR60,1202.65673333,OUT049
FDC50,219.21852093,OUT019
FDV24,2503.50133645,OUT013
DRF48,482.699542623,OUT010
FDQ47,583.814578862,OUT046
DRN36,1573.07062581,OUT049
NCY06,1987.25104865,OUT035
FDE52,1435.91213437,OUT035
NCB54,1827.83284545,OUT045
NCF31,2286.41326737,OUT035
FDJ08,5329.31472444,OUT027
NCC07,1682.21223824,OUT017
NCD19,1378.26318528,OUT027
FDL46,1987.25104865,OUT049
FDM20,4340.21835842,OUT045
NCI06,425.935591453,OUT010
DRM11,4433.30403265,OUT035
NCH07,2232.84702185,OUT018
FDS23,2142.74357094,OUT013
FDO49,713.858654545,OUT018
FDS35,1103.18621333,OUT049
DRK39,1435.91213437,OUT045
DRI39,796.640268254,OUT049
FDV04,2503.50133645,OUT017
NCN14,3384.10806424,OUT035
FDH08,3643.51972598,OUT013
FDS20,3384.10806424,OUT046
FDV40,1103.18621333,OUT049
FDZ48,281.482081818,OUT010
FDS24,2517.88208848,OUT027
FDK44,2552.00523519,OUT049
FDS48,3053.09987778,OUT045
FDK26,482.699542623,OUT010
FDD23,3391.59125273,OUT045
NCH54,2644.47784271,OUT017
NCP14,219.21852093,OUT010
FDM60,92.6754815534,OUT010
FDV24,2503.50133645,OUT017
FDH08,3327.95258293,OUT018
FDS12,3242.06207153,OUT027
FDR39,5329.31472444,OUT027
FDP12,1378.26318528,OUT027
DRF60,6280.89088,OUT027
FDC09,1682.21223824,OUT035
FDF50,2893.8398259,OUT018
FDG28,4340.21835842,OUT035
NCE19,935.032388304,OUT017
NCM53,281.482081818,OUT010
NCN18,1879.25701161,OUT049
FDF32,3130.00490495,OUT035
FDF11,3945.43256721,OUT013
DRI59,4340.21835842,OUT049
NCG54,2644.47784271,OUT035
FDM44,1573.07062581,OUT046
FDT57,3327.95258293,OUT018
FDV24,2503.50133645,OUT046
FDI50,584.757764773,OUT019
FDS09,713.858654545,OUT035
NCC31,4117.31771263,OUT027
FDQ07,584.757764773,OUT019
FDC22,3391.59125273,OUT017
FDZ56,2644.47784271,OUT046
FDZ40,165.918581651,OUT019
FDS46,3242.06207153,OUT027
DRD24,1827.83284545,OUT045
FDV45,2939.34847619,OUT017
FDL26,3053.09987778,OUT045
FDA56,1752.25244,OUT018
FDN27,1922.14938171,OUT046
FDM20,4340.21835842,OUT049
FDO16,1435.91213437,OUT017
FDL03,3130.00490495,OUT035
FDE58,1922.14938171,OUT046
FDI02,3242.06207153,OUT027
NCC55,92.6754815534,OUT019
FDR03,3327.95258293,OUT018
FDB14,1284.78976687,OUT017
FDR45,3945.43256721,OUT013
NCN07,2243.66959672,OUT017
FDM51,219.21852093,OUT019
FDT52,6280.89088,OUT027
FDL26,3053.09987778,OUT046
NCZ42,3945.43256721,OUT046
DRI47,346.897283721,OUT019
FDW40,2309.200798,OUT013
FDN34,3053.09987778,OUT046
FDS01,2778.58931753,OUT035
NCG55,1827.83284545,OUT045
FDC11,1284.78976687,OUT035
FDX35,3327.95258293,OUT018
NCB06,2644.47784271,OUT046
FDR09,584.757764773,OUT019
FDC53,1573.07062581,OUT017
FDY45,4433.30403265,OUT013
FDA22,425.935591453,OUT010
FDE02,1573.07062581,OUT035
FDW21,1461.843796,OUT045
FDV34,1103.18621333,OUT046
FDS59,1879.25701161,OUT049
NCW17,2243.66959672,OUT017
NCK54,1922.14938171,OUT046
FDG17,584.757764773,OUT019
FDG35,3259.56208491,OUT017
FDD08,92.6754815534,OUT010
NCO07,3643.51972598,OUT017
FDJ10,281.482081818,OUT010
FDW36,1573.07062581,OUT017
FDW21,219.21852093,OUT010
FDY19,1922.14938171,OUT017
DRE03,798.21760354,OUT013
NCC55,677.102747619,OUT049
FDH52,165.918581651,OUT010
FDO09,4034.3003069,OUT017
FDU43,4340.21835842,OUT045
FDX09,425.935591453,OUT010
FDH40,219.21852093,OUT019
FDW58,1573.07062581,OUT017
FDC47,3737.29577518,OUT017
NCR41,1461.843796,OUT035
DRG49,3737.29577518,OUT035
FDC52,4117.31771263,OUT027
FDY13,1103.18621333,OUT046
FDY35,507.04640367,OUT013
FDI35,3384.10806424,OUT017
NCU18,2309.200798,OUT049
FDY33,2232.84702185,OUT018
FDC15,4117.31771263,OUT027
FDU01,2752.97093465,OUT049
NCU42,2649.11023243,OUT046
NCV29,3259.56208491,OUT018
NCY30,3384.10806424,OUT017
FDQ46,1649.299786,OUT049
FDG58,4117.31771263,OUT027
FDK33,3643.51972598,OUT017
NCD07,1827.83284545,OUT045
NCX29,4117.31771263,OUT027
NCT42,2649.11023243,OUT013
DRN59,798.21760354,OUT035
FDI44,1284.78976687,OUT035
FDA45,2552.00523519,OUT049
FDP31,1103.18621333,OUT045
FDY01,1922.14938171,OUT046
FDT09,1752.25244,OUT018
DRH03,2517.88208848,OUT027
FDA36,2752.97093465,OUT018
NCF31,2286.41326737,OUT017
FDG14,2286.41326737,OUT049
