Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1832.77054133,OUT049
FDW14,1551.30185577,OUT017
NCN55,1894.93721683,OUT010
FDQ58,2567.9052322,OUT017
FDY38,5162.37984612,OUT027
FDH56,1932.77130775,OUT046
FDL48,615.690851626,OUT018
FDC48,2769.89671658,OUT027
FDN33,1525.52715783,OUT045
FDA36,3062.38493923,OUT017
FDT44,1988.35474327,OUT017
FDQ56,1332.83808307,OUT045
NCC54,1870.72906735,OUT019
FDU11,2045.24701693,OUT049
DRL59,899.301995765,OUT013
FDM24,2535.72844845,OUT049
FDI57,3094.97997695,OUT045
DRC12,2773.15662274,OUT018
NCM42,3193.01680393,OUT027
FDA46,1156.93919505,OUT010
FDA31,2805.29222706,OUT013
NCJ31,3882.67384836,OUT035
FDG52,823.276173062,OUT046
NCL19,371.316531917,OUT019
FDS10,3004.25410861,OUT035
FDX22,1456.7577066,OUT010
NCF19,924.766539738,OUT035
NCE06,2560.79820378,OUT046
DRC27,3859.341489,OUT046
FDE21,2012.23754295,OUT035
NCR42,-1340.84140816,OUT019
FDX51,2865.95973319,OUT018
NCR06,453.335892207,OUT018
FDU31,4919.57588188,OUT027
FDU59,2699.94757068,OUT017
FDR03,4725.8204337,OUT027
FDS49,2750.84002431,OUT027
FDD48,-57.615271786,OUT010
NCF18,3114.26862041,OUT017
NCD43,3097.17400199,OUT027
NCD54,2013.49937937,OUT018
FDY19,-19.3794291227,OUT010
NCY54,2820.66278775,OUT017
NCL19,2037.99076129,OUT018
FDP23,1538.83669383,OUT010
FDC26,1830.62269673,OUT013
FDR14,-990.074582454,OUT010
NCS41,3022.49913623,OUT035
FDF41,4035.29843936,OUT035
FDU34,2016.61811264,OUT046
DRH11,952.481739419,OUT046
FDM03,1745.99658521,OUT013
FDS31,3001.28702171,OUT017
FDJ20,2085.25171146,OUT017
FDV44,4468.18336023,OUT027
FDG02,3085.58893197,OUT049
FDA09,2907.63591404,OUT013
FDT04,690.54907827,OUT013
FDL58,2282.92651511,OUT019
FDE52,1451.22626106,OUT045
FDW12,2483.344269,OUT035
FDL51,3526.52809967,OUT017
NCY42,3684.80739317,OUT027
FDR07,1658.26788061,OUT017
FDN40,2377.38275713,OUT045
FDB35,2942.54662952,OUT027
FDA22,2725.6842742,OUT017
NCL06,4129.58363942,OUT046
FDI35,2911.15430021,OUT013
NCW42,3429.92313667,OUT045
NCX06,2931.48316925,OUT049
FDC37,3187.74875896,OUT027
FDZ14,1739.12659372,OUT018
DRG49,3938.00275797,OUT049
NCG06,3969.68804242,OUT045
DRC36,2728.96218603,OUT045
FDV21,83.5184637572,OUT019
FDB53,2375.61642999,OUT046
DRP47,2051.64009859,OUT019
FDA14,2349.34130523,OUT013
DRC24,2557.85246056,OUT035
FDW21,1408.05902525,OUT018
NCH29,1577.23062006,OUT046
FDU58,3062.45728818,OUT013
