Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1858.0,OUT049
FDW14,1576.0,OUT017
NCN55,1886.0,OUT010
FDQ58,2606.0,OUT017
FDY38,5183.0,OUT027
FDH56,1915.0,OUT046
FDL48,592.0,OUT018
FDC48,2783.0,OUT027
FDN33,1508.0,OUT045
FDA36,3076.0,OUT017
FDT44,1993.0,OUT017
FDQ56,1304.0,OUT045
NCC54,1849.0,OUT019
FDU11,2049.0,OUT049
DRL59,892.0,OUT013
FDM24,2563.0,OUT049
FDI57,3086.0,OUT045
DRC12,2760.0,OUT018
NCM42,3197.0,OUT027
FDA46,1132.0,OUT010
FDA31,2802.0,OUT013
NCJ31,3872.0,OUT035
FDG52,803.0,OUT046
NCL19,377.0,OUT019
FDS10,3024.0,OUT035
FDX22,1448.0,OUT010
NCF19,910.0,OUT035
NCE06,2524.0,OUT046
DRC27,3841.0,OUT046
FDE21,2022.0,OUT035
NCR42,-1355.0,OUT019
FDX51,2860.0,OUT018
NCR06,423.0,OUT018
FDU31,4945.0,OUT027
FDU59,2708.0,OUT017
FDR03,4773.0,OUT027
FDS49,2765.0,OUT027
FDD48,-74.0,OUT010
NCF18,3105.0,OUT017
NCD43,3103.0,OUT027
NCD54,1983.0,OUT018
FDY19,-36.0,OUT010
NCY54,2805.0,OUT017
NCL19,2017.0,OUT018
FDP23,1534.0,OUT010
FDC26,1822.0,OUT013
FDR14,-1044.0,OUT010
NCS41,3032.0,OUT035
FDF41,4038.0,OUT035
FDU34,2001.0,OUT046
DRH11,917.0,OUT046
FDM03,1766.0,OUT013
FDS31,3046.0,OUT017
FDJ20,2088.0,OUT017
FDV44,4499.0,OUT027
FDG02,3107.0,OUT049
FDA09,2914.0,OUT013
FDT04,694.0,OUT013
FDL58,2295.0,OUT019
FDE52,1454.0,OUT045
FDW12,2500.0,OUT035
FDL51,3546.0,OUT017
NCY42,3691.0,OUT027
FDR07,1654.0,OUT017
FDN40,2374.0,OUT045
FDB35,2955.0,OUT027
FDA22,2738.0,OUT017
NCL06,4108.0,OUT046
FDI35,2922.0,OUT013
NCW42,3407.0,OUT045
NCX06,2937.0,OUT049
FDC37,3197.0,OUT027
FDZ14,1724.0,OUT018
DRG49,3951.0,OUT049
NCG06,3956.0,OUT045
DRC36,2720.0,OUT045
FDV21,61.0,OUT019
FDB53,2357.0,OUT046
DRP47,2043.0,OUT019
FDA14,2358.0,OUT013
DRC24,2565.0,OUT035
FDW21,1412.0,OUT018
