Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2181.28891358
FDW14,OUT017,2181.28891358
NCN55,OUT010,2181.28891358
FDQ58,OUT017,2181.28891358
FDY38,OUT027,2181.28891358
FDH56,OUT046,2181.28891358
FDL48,OUT018,2181.28891358
FDC48,OUT027,2181.28891358
FDN33,OUT045,2181.28891358
FDA36,OUT017,2181.28891358
FDT44,OUT017,2181.28891358
FDQ56,OUT045,2181.28891358
NCC54,OUT019,2181.28891358
FDU11,OUT049,2181.28891358
DRL59,OUT013,2181.28891358
FDM24,OUT049,2181.28891358
FDI57,OUT045,2181.28891358
DRC12,OUT018,2181.28891358
NCM42,OUT027,2181.28891358
FDA46,OUT010,2181.28891358
FDA31,OUT013,2181.28891358
NCJ31,OUT035,2181.28891358
FDG52,OUT046,2181.28891358
NCL19,OUT019,2181.28891358
FDS10,OUT035,2181.28891358
FDX22,OUT010,2181.28891358
NCF19,OUT035,2181.28891358
NCE06,OUT046,2181.28891358
DRC27,OUT046,2181.28891358
FDE21,OUT035,2181.28891358
NCR42,OUT019,2181.28891358
FDX51,OUT018,2181.28891358
NCR06,OUT018,2181.28891358
FDU31,OUT027,2181.28891358
FDU59,OUT017,2181.28891358
FDR03,OUT027,2181.28891358
FDS49,OUT027,2181.28891358
FDD48,OUT010,2181.28891358
NCF18,OUT017,2181.28891358
NCD43,OUT027,2181.28891358
NCD54,OUT018,2181.28891358
FDY19,OUT010,2181.28891358
NCY54,OUT017,2181.28891358
NCL19,OUT018,2181.28891358
FDP23,OUT010,2181.28891358
FDC26,OUT013,2181.28891358
FDR14,OUT010,2181.28891358
NCS41,OUT035,2181.28891358
FDF41,OUT035,2181.28891358
FDU34,OUT046,2181.28891358
DRH11,OUT046,2181.28891358
FDM03,OUT013,2181.28891358
FDS31,OUT017,2181.28891358
FDJ20,OUT017,2181.28891358
FDV44,OUT027,2181.28891358
FDG02,OUT049,2181.28891358
FDA09,OUT013,2181.28891358
FDT04,OUT013,2181.28891358
FDL58,OUT019,2181.28891358
FDE52,OUT045,2181.28891358
FDW12,OUT035,2181.28891358
FDL51,OUT017,2181.28891358
NCY42,OUT027,2181.28891358
FDR07,OUT017,2181.28891358
FDN40,OUT045,2181.28891358
FDB35,OUT027,2181.28891358
FDA22,OUT017,2181.28891358
NCL06,OUT046,2181.28891358
FDI35,OUT013,2181.28891358
NCW42,OUT045,2181.28891358
NCX06,OUT049,2181.28891358
FDC37,OUT027,2181.28891358
FDZ14,OUT018,2181.28891358
DRG49,OUT049,2181.28891358
NCG06,OUT045,2181.28891358
DRC36,OUT045,2181.28891358
FDV21,OUT019,2181.28891358
FDB53,OUT046,2181.28891358
DRP47,OUT019,2181.28891358
FDA14,OUT013,2181.28891358
DRC24,OUT035,2181.28891358
FDW21,OUT018,2181.28891358
NCH29,OUT046,2181.28891358
FDU58,OUT013,2181.28891358
FDY27,OUT017,2181.28891358
FDV56,OUT035,2181.28891358
FDT59,OUT046,2181.28891358
FDB23,OUT046,2181.28891358
FDR49,OUT045,2181.28891358
FDB03,OUT010,2181.28891358
FDN39,OUT045,2181.28891358
FDX02,OUT027,2181.28891358
FDQ16,OUT027,2181.28891358
FDU35,OUT018,2181.28891358
NCT29,OUT013,2181.28891358
FDZ27,OUT046,2181.28891358
FDN57,OUT017,2181.28891358
FDA03,OUT018,2181.28891358
FDZ36,OUT045,2181.28891358
NCU05,OUT013,2181.28891358
FDT39,OUT018,2181.28891358
FDK60,OUT017,2181.28891358
FDZ25,OUT017,2181.28891358
FDG12,OUT046,2181.28891358
DRB01,OUT019,2181.28891358
NCC43,OUT027,2181.28891358
FDX13,OUT019,2181.28891358
FDM22,OUT049,2181.28891358
FDJ03,OUT027,2181.28891358
FDU14,OUT018,2181.28891358
FDB33,OUT010,2181.28891358
FDP27,OUT046,2181.28891358
FDO38,OUT010,2181.28891358
FDE28,OUT027,2181.28891358
FDO27,OUT035,2181.28891358
DRL23,OUT027,2181.28891358
FDS28,OUT046,2181.28891358
FDX24,OUT013,2181.28891358
FDZ02,OUT035,2181.28891358
FDL46,OUT045,2181.28891358
FDS60,OUT027,2181.28891358
NCO06,OUT017,2181.28891358
FDO16,OUT035,2181.28891358
FDC60,OUT049,2181.28891358
FDA48,OUT018,2181.28891358
FDZ36,OUT027,2181.28891358
FDK27,OUT045,2181.28891358
FDW23,OUT018,2181.28891358
FDM14,OUT018,2181.28891358
FDM14,OUT013,2181.28891358
FDW60,OUT018,2181.28891358
FDE21,OUT013,2181.28891358
NCM42,OUT035,2181.28891358
FDY59,OUT010,2181.28891358
DRI49,OUT049,2181.28891358
FDT28,OUT019,2181.28891358
FDQ22,OUT018,2181.28891358
FDR60,OUT049,2181.28891358
FDC50,OUT019,2181.28891358
FDV24,OUT013,2181.28891358
DRF48,OUT010,2181.28891358
FDQ47,OUT046,2181.28891358
DRN36,OUT049,2181.28891358
NCY06,OUT035,2181.28891358
FDE52,OUT035,2181.28891358
NCB54,OUT045,2181.28891358
NCF31,OUT035,2181.28891358
FDJ08,OUT027,2181.28891358
NCC07,OUT017,2181.28891358
NCD19,OUT027,2181.28891358
FDL46,OUT049,2181.28891358
FDM20,OUT045,2181.28891358
NCI06,OUT010,2181.28891358
DRM11,OUT035,2181.28891358
NCH07,OUT018,2181.28891358
FDS23,OUT013,2181.28891358
FDO49,OUT018,2181.28891358
FDS35,OUT049,2181.28891358
DRK39,OUT045,2181.28891358
DRI39,OUT049,2181.28891358
FDV04,OUT017,2181.28891358
NCN14,OUT035,2181.28891358
FDH08,OUT013,2181.28891358
FDS20,OUT046,2181.28891358
FDV40,OUT049,2181.28891358
