Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1642.95547566,OUT049
FDW14,1371.78971456,OUT017
NCN55,574.725435868,OUT010
FDQ58,2472.81076686,OUT017
FDY38,5854.6407462,OUT027
FDH56,1932.65636584,OUT046
FDL48,768.731446185,OUT018
FDC48,2098.32977558,OUT027
FDN33,1518.89917816,OUT045
FDA36,3095.10504376,OUT017
FDT44,1926.56243144,OUT017
FDQ56,1367.09295789,OUT045
NCC54,575.43237833,OUT019
FDU11,2014.49825578,OUT049
DRL59,874.877780232,OUT013
FDM24,2439.67995636,OUT049
FDI57,3089.95953078,OUT045
DRC12,2961.84847953,OUT018
NCM42,2906.25867127,OUT027
FDA46,507.448897021,OUT010
FDA31,2853.0770988,OUT013
NCJ31,3853.99233671,OUT035
FDG52,783.776708449,OUT046
NCL19,289.223726729,OUT019
FDS10,2990.94525869,OUT035
FDX22,567.408068493,OUT010
NCF19,759.776550192,OUT035
NCE06,2549.09061481,OUT046
DRC27,3898.72035519,OUT046
FDE21,1951.62894896,OUT035
NCR42,130.921054494,OUT019
FDX51,2992.62698769,OUT018
NCR06,619.357703964,OUT018
FDU31,5854.6407462,OUT027
FDU59,2551.22513057,OUT017
FDR03,5854.6407462,OUT027
FDS49,2034.4672583,OUT027
FDD48,267.213684655,OUT010
NCF18,3023.18862561,OUT017
NCD43,2846.31500487,OUT027
NCD54,2114.66965652,OUT018
FDY19,267.399547415,OUT010
NCY54,2866.69955496,OUT017
NCL19,2436.03326561,OUT018
FDP23,573.15169228,OUT010
FDC26,1739.37549327,OUT013
FDR14,130.921054494,OUT010
NCS41,3116.06433006,OUT035
FDF41,3861.4698001,OUT035
FDU34,2043.37996866,OUT046
DRH11,964.065989497,OUT046
FDM03,1648.66656948,OUT013
FDS31,3062.77213288,OUT017
FDJ20,1995.36262118,OUT017
FDV44,5162.3449051,OUT027
FDG02,3109.08908885,OUT049
FDA09,3002.43562674,OUT013
FDT04,707.131467984,OUT013
FDL58,573.008591311,OUT019
FDE52,1386.10961731,OUT045
FDW12,2467.9915067,OUT035
FDL51,3645.90392948,OUT017
NCY42,3022.69343965,OUT027
FDR07,1534.3328608,OUT017
FDN40,2459.16179961,OUT045
FDB35,2652.41045358,OUT027
FDA22,2532.30550989,OUT017
NCL06,4148.50609448,OUT046
FDI35,3058.36506646,OUT013
NCW42,3749.44797666,OUT045
NCX06,2994.7612932,OUT049
FDC37,2887.98454008,OUT027
FDZ14,1958.58399963,OUT018
DRG49,3871.80236203,OUT049
NCG06,4088.87247543,OUT045
DRC36,2874.29828819,OUT045
FDV21,280.875922342,OUT019
FDB53,2496.72655583,OUT046
DRP47,572.984968107,OUT019
FDA14,2453.63356719,OUT013
DRC24,2542.22964341,OUT035
FDW21,1611.74723367,OUT018
NCH29,1541.81967262,OUT046
FDU58,3098.18356708,OUT013
FDY27,2878.83374816,OUT017
FDV56,1659.25096765,OUT035
FDT59,3821.58916868,OUT046
FDB23,3763.11778251,OUT046
FDR49,758.958561128,OUT045
FDB03,575.832821993,OUT010
FDN39,2628.95140001,OUT045
FDX02,5854.6407462,OUT027
FDQ16,2882.59383272,OUT027
FDU35,1547.83496093,OUT018
NCT29,2016.48284758,OUT013
FDZ27,784.473152396,OUT046
FDN57,2043.82449378,OUT017
FDA03,2429.19262408,OUT018
FDZ36,3112.28622671,OUT045
NCU05,1407.88078808,OUT013
FDT39,2396.36402865,OUT018
FDK60,1533.77929143,OUT017
FDZ25,2781.55479117,OUT017
FDG12,2073.94767388,OUT046
DRB01,502.024303459,OUT019
NCC43,5854.6407462,OUT027
FDX13,571.692126526,OUT019
FDM22,863.00287609,OUT049
FDJ03,1090.258336,OUT027
FDU14,3830.9726703,OUT018
FDB33,381.336081503,OUT010
FDP27,3115.73852037,OUT046
FDO38,157.40775562,OUT010
FDE28,5854.6407462,OUT027
FDO27,1517.12798959,OUT035
DRL23,2880.87458819,OUT027
FDS28,963.168592472,OUT046
FDX24,1464.6966925,OUT013
FDZ02,1535.44399253,OUT035
FDL46,1913.2407406,OUT045
FDS60,4778.28933303,OUT027
NCO06,592.086188856,OUT017
FDO16,1362.17399943,OUT035
FDC60,1371.32408997,OUT049
FDA48,3438.28444299,OUT018
FDZ36,5154.50868325,OUT027
FDK27,2037.52695085,OUT045
FDW23,605.949448235,OUT018
FDM14,1682.14245921,OUT018
FDM14,1651.70919426,OUT013
FDW60,2843.34480434,OUT018
FDE21,1968.01101658,OUT013
NCM42,1661.71898801,OUT035
FDY59,229.3583827,OUT010
DRI49,1303.65252484,OUT049
FDT28,362.824619552,OUT019
FDQ22,607.086823188,OUT018
FDR60,1274.89592878,OUT049
FDC50,236.551593095,OUT019
FDV24,2406.12218642,OUT013
DRF48,496.325087156,OUT010
FDQ47,630.335026894,OUT046
DRN36,1529.15755607,OUT049
NCY06,2015.87301093,OUT035
FDE52,1386.10961731,OUT035
NCB54,2009.01358001,OUT045
NCF31,2485.2668093,OUT035
FDJ08,5179.1843347,OUT027
NCC07,1648.81918526,OUT017
NCD19,1263.24999667,OUT027
FDL46,1969.80496348,OUT049
FDM20,4034.38681805,OUT045
NCI06,451.307102595,OUT010
DRM11,4228.70364255,OUT035
NCH07,2497.59567468,OUT018
FDS23,2042.47173683,OUT013
FDO49,767.874087772,OUT018
FDS35,1062.16655397,OUT049
DRK39,1335.86214361,OUT045
DRI39,904.237988574,OUT049
FDV04,2511.34533429,OUT017
NCN14,3053.10427877,OUT035
FDH08,3715.2346582,OUT013
FDS20,3144.35786099,OUT046
FDV40,1149.41909818,OUT049
FDZ48,261.039409824,OUT010
FDS24,2559.30619305,OUT027
FDK44,2841.9730933,OUT049
FDS48,2524.36651592,OUT045
FDK26,497.935611358,OUT010
FDD23,3109.0147532,OUT045
NCH54,2598.92705467,OUT017
NCP14,241.083982029,OUT010
FDM60,130.921054494,OUT010
FDV24,2441.85567924,OUT017
FDH08,3520.14477968,OUT018
FDS12,3007.9680196,OUT027
FDR39,4837.8950942,OUT027
FDP12,1008.47358327,OUT027
DRF60,5854.6407462,OUT027
FDC09,1648.45897947,OUT035
FDF50,3027.79211884,OUT018
FDG28,4028.15908042,OUT035
NCE19,875.223480579,OUT017
NCM53,250.97592993,OUT010
NCN18,1713.43430075,OUT049
FDF32,3153.6422742,OUT035
FDF11,3955.3568954,OUT013
DRI59,3794.48123001,OUT049
NCG54,2789.45306021,OUT035
FDM44,1637.14483547,OUT046
FDT57,3618.48263848,OUT018
