Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1875.48604276,OUT049
FDW14,1591.76127408,OUT017
NCN55,1822.67265862,OUT010
FDQ58,2546.36295916,OUT017
FDY38,5087.60540011,OUT027
FDH56,1942.63713021,OUT046
FDL48,680.800027244,OUT018
FDC48,2806.04274414,OUT027
FDN33,1541.24775581,OUT045
FDA36,3051.67573554,OUT017
FDT44,2004.9816551,OUT017
FDQ56,1358.15334063,OUT045
NCC54,1819.70816244,OUT019
FDU11,2076.75019335,OUT049
DRL59,963.736580043,OUT013
FDM24,2541.5716065,OUT049
FDI57,3047.57510309,OUT045
DRC12,2726.59033179,OUT018
NCM42,3196.32208209,OUT027
FDA46,1129.08659321,OUT010
FDA31,2782.85310163,OUT013
NCJ31,3802.67085888,OUT035
FDG52,863.696732363,OUT046
NCL19,383.674973972,OUT019
FDS10,2986.40407031,OUT035
FDX22,1453.27006426,OUT010
NCF19,998.531315281,OUT035
NCE06,2519.82960887,OUT046
DRC27,3768.66606679,OUT046
FDE21,2044.97505623,OUT035
NCR42,-1251.13411455,OUT019
FDX51,2840.70768365,OUT018
NCR06,510.713476881,OUT018
FDU31,4872.66161821,OUT027
FDU59,2684.93781185,OUT017
FDR03,4667.85518284,OUT027
FDS49,2769.5521447,OUT027
FDD48,-11.7428533378,OUT010
NCF18,3083.50922136,OUT017
NCD43,3104.4140854,OUT027
NCD54,2007.82749699,OUT018
FDY19,23.5681132465,OUT010
NCY54,2783.24155897,OUT017
NCL19,2023.52141753,OUT018
FDP23,1509.36534283,OUT010
FDC26,1848.57949208,OUT013
FDR14,-931.074945593,OUT010
NCS41,2986.6196676,OUT035
FDF41,3971.33646645,OUT035
FDU34,2004.56831731,OUT046
DRH11,984.169528964,OUT046
FDM03,1734.30340641,OUT013
FDS31,2964.89332691,OUT017
FDJ20,2116.7529679,OUT017
FDV44,4427.78480896,OUT027
FDG02,3080.3282714,OUT049
FDA09,2877.99010046,OUT013
FDT04,743.813688964,OUT013
FDL58,2224.43051992,OUT019
FDE52,1472.29791199,OUT045
FDW12,2500.32761775,OUT035
FDL51,3499.17163175,OUT017
NCY42,3669.35419946,OUT027
FDR07,1704.3865411,OUT017
FDN40,2341.92578989,OUT045
FDB35,2975.93872318,OUT027
FDA22,2708.40192765,OUT017
NCL06,4020.09318858,OUT046
FDI35,2889.38690509,OUT013
NCW42,3358.98675371,OUT045
NCX06,2926.34084662,OUT049
FDC37,3208.31548174,OUT027
FDZ14,1759.36285537,OUT018
DRG49,3880.47204451,OUT049
NCG06,3875.83744052,OUT045
DRC36,2697.43034841,OUT045
FDV21,89.2032936724,OUT019
FDB53,2335.28360036,OUT046
DRP47,1969.36004662,OUT019
FDA14,2346.31231189,OUT013
DRC24,2559.43684077,OUT035
FDW21,1431.14152526,OUT018
NCH29,1574.19014199,OUT046
FDU58,3038.84995451,OUT013
FDY27,2888.58667353,OUT017
FDV56,1978.63537533,OUT035
FDT59,3588.21904452,OUT046
FDB23,3557.51989816,OUT046
FDR49,760.32179838,OUT045
FDB03,1879.10029185,OUT010
FDN39,2601.00811648,OUT045
FDX02,4893.53949911,OUT027
FDQ16,3196.57648028,OUT027
FDU35,1349.33257265,OUT018
NCT29,1985.40741285,OUT013
FDZ27,871.185553162,OUT046
FDN57,2352.02593504,OUT017
FDA03,2095.94345637,OUT018
FDZ36,2892.91014555,OUT045
NCU05,1378.53440234,OUT013
FDT39,2199.46325835,OUT018
FDK60,1722.70994297,OUT017
FDZ25,2809.59873276,OUT017
FDG12,1996.2641668,OUT046
DRB01,1083.33578031,OUT019
NCC43,5257.56157209,OUT027
FDX13,1979.8573546,OUT019
FDM22,1099.94708611,OUT049
FDJ03,2354.42284129,OUT027
FDU14,3604.68000055,OUT018
FDB33,672.576940136,OUT010
FDP27,2975.19340676,OUT046
FDO38,-582.792349641,OUT010
FDE28,5039.56358921,OUT027
FDO27,1728.28472985,OUT035
DRL23,3168.95098941,OUT027
FDS28,1027.06834871,OUT046
FDX24,1576.82188399,OUT013
FDZ02,1784.0734724,OUT035
FDL46,1839.25547448,OUT045
FDS60,4250.40933624,OUT027
NCO06,717.646590564,OUT017
FDO16,1575.60424055,OUT035
FDC60,1593.72004372,OUT049
FDA48,3143.38587008,OUT018
FDZ36,4385.0284824,OUT027
FDK27,1908.42898426,OUT045
FDW23,471.632553704,OUT018
FDM14,1541.18235081,OUT018
FDM14,1815.35281478,OUT013
FDW60,2582.11625225,OUT018
FDE21,1937.83674494,OUT013
NCM42,1909.62956314,OUT035
